meeting_id,department,word_count,positive_count,negative_count,sentiment_score
M_0000,HR,1962,57,76,5.16
M_0001,IT,348,7,11,4.81
M_0002,Customer Support,2129,123,79,5.01
M_0003,Finance,3322,108,56,6.67
M_0004,Engineering,2983,112,47,5.95
M_0005,Engineering,2885,70,29,5.16
M_0006,Engineering,2248,120,70,4.1
M_0007,Product Management,1348,28,51,4.43
M_0008,Finance,2963,158,46,5.95
M_0009,Operations,1749,44,50,4.03
M_0010,Engineering,4465,247,144,6.94
M_0011,IT,3013,148,113,5.13
M_0012,Product Management,1977,52,58,5.01
M_0013,Sales,1949,83,76,5.18
M_0014,Engineering,2416,78,49,5.52
M_0015,Engineering,2284,61,46,4.14
M_0016,Sales,3505,190,92,8.06
M_0017,Marketing,2667,96,57,6.51
M_0018,Marketing,1841,66,18,6.35
M_0019,Sales,4201,112,134,4.41
M_0020,Operations,2544,89,82,5.19
M_0021,Engineering,3191,175,103,6.19
M_0022,Sales,1952,67,39,6.46
M_0023,HR,2826,164,72,4.52
M_0024,Marketing,2779,160,57,5.09
M_0025,Customer Support,799,20,8,4.41
M_0026,Engineering,4313,116,115,4.52
M_0027,Marketing,3661,199,50,6.96
M_0028,Finance,2142,76,26,3.7
M_0029,Engineering,1507,30,49,5.4
M_0030,Finance,2812,87,28,4.18
M_0031,Engineering,2578,113,99,4.29
M_0032,Engineering,2820,146,71,3.66
M_0033,R&D,2672,67,105,4.42
M_0034,IT,2955,72,34,6.34
M_0035,Customer Support,3802,216,104,5.07
M_0036,Sales,3011,150,61,4.99
M_0037,Engineering,1555,67,54,5.9
M_0038,Operations,3726,189,77,6.29
M_0039,Marketing,3976,147,70,5.54
M_0040,Engineering,5336,268,190,6.77
M_0041,Marketing,1488,51,31,6.08
M_0042,Engineering,2718,80,28,5.74
M_0043,Legal,626,30,13,4.17
M_0044,Sales,2997,110,88,6.41
M_0045,Operations,2006,118,35,5.59
M_0046,Sales,4231,143,97,6.35
M_0047,Marketing,1802,102,21,5.15
M_0048,Finance,979,56,27,5.4
M_0049,Engineering,2075,61,67,4.32
M_0050,IT,722,37,16,3.57
M_0051,Customer Support,3175,118,71,5.47
M_0052,R&D,641,36,8,4.23
M_0053,Legal,2525,95,40,4.77
M_0054,Finance,629,31,9,5.62
M_0055,R&D,2211,85,54,5.4
M_0056,Engineering,3979,115,102,4.81
M_0057,Engineering,2824,78,108,5.11
M_0058,Engineering,1722,63,21,5.62
M_0059,Sales,2471,124,69,6.68
M_0060,HR,2516,111,64,6.57
M_0061,Sales,2925,139,74,6.22
M_0062,Customer Support,1269,39,45,4.6
M_0063,HR,3033,119,49,4.51
M_0064,Sales,150,3,1,6.3
M_0065,Finance,1933,101,58,5.76
M_0066,Engineering,2060,122,41,5.24
M_0067,Customer Support,3069,111,32,5.24
M_0068,Engineering,2520,51,44,4.79
M_0069,Data Science,1234,33,23,5.62
M_0070,Customer Support,1613,74,45,5.44
M_0071,Engineering,2678,119,40,6.01
M_0072,Engineering,2428,125,54,5.39
M_0073,Customer Support,1978,59,48,3.89
M_0074,Operations,2067,104,49,4.78
M_0075,Customer Support,3126,148,122,5.11
M_0076,Customer Support,2034,66,23,6.6
M_0077,Engineering,2420,101,93,4.76
M_0078,HR,4452,115,122,5.35
M_0079,Engineering,1218,46,41,4.6
M_0080,Product Management,833,46,19,4.54
M_0081,Operations,3205,118,75,4.59
M_0082,Sales,1889,101,68,4.04
M_0083,Engineering,2213,96,81,6.15
M_0084,Sales,1796,49,30,3.82
M_0085,Sales,2266,97,36,5.82
M_0086,Customer Support,3938,158,98,3.87
M_0087,Operations,3221,115,119,4.28
M_0088,Legal,3276,81,64,5.54
M_0089,Marketing,1225,44,36,5.49
M_0090,Engineering,1463,33,45,4.15
M_0091,Customer Support,150,3,5,4.04
M_0092,Customer Support,1771,64,47,4.12
M_0093,Finance,3361,108,74,5.07
M_0094,Customer Support,2965,169,115,4.89
M_0095,Marketing,2300,80,65,6.91
M_0096,Marketing,2479,124,78,3.84
M_0097,HR,1880,77,38,5.18
M_0098,Engineering,2684,129,80,4.93
M_0099,Engineering,3189,96,56,5.88
M_0100,Engineering,1045,60,18,5.69
M_0101,Operations,2769,114,87,5.57
M_0102,Sales,3339,177,85,6.38
M_0103,Marketing,2126,73,64,4.51
M_0104,Legal,3130,75,56,5.43
M_0105,Sales,5033,236,140,6.7
M_0106,HR,2406,48,56,5.7
M_0107,Customer Support,2853,111,79,5.63
M_0108,Sales,1835,50,34,6.23
M_0109,Engineering,2663,120,83,6.32
